run_id,captured_at,mode,scene_index,scene_type,query,query_scenario_id,query_category,expected_result,intervention_mode,protection_enabled,typed_text,query_or_url,query_display,input_surface,target_url,attempt,attempt_status,google_light_ok,google_light_masked_span_count,google_light_preconceal_count,trigger_ok,google_light_duration_ms,trigger_duration_ms,attempt_wall_duration_ms,video_start_seconds,video_end_seconds,backend_endpoint,backend_status,decision_source,duration_ms,candidate_collect_ms,parser_ms,pre_backend_ms,backend_round_trip_ms,backend_reported_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,total_to_mask_ms,first_mask_latency_ms,visible_first_mask_ms,first_paint_mask_ms,foreground_unit_build_ms,foreground_backend_latency_ms,backend_internal_pipeline_avg_ms,backend_internal_model_avg_ms,requested_analysis_count,total_candidate_count,foreground_candidate_count,returned_span_count,masked_span_count,local_preflight_masked_span_count,preconceal_count,effective_masked_span_count,render_box_count,inline_mask_count,duplicate_rendered_original_count,ai_overview_candidate_count,search_input_value,hover_probe_ok,hover_tooltip,hover_mask_text
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:16,chrome-google-demo,2,google-mode-showcase,ㅈ댄다 진짜,masking-mode-mask,masking-mode-showcase,mode-applied,mask,true,,ㅈ댄다 진짜,가리기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,1,ok,true,1,0,true,57.894,22.979,1786.952,26.7,29.1,http://127.0.0.1:8000,ready,backend-foreground,21,12,0,20,1,1,0,0,0,21,0,,0,0,1,29.87,29.706,1,6,1,0,0,0,0,9.0,9,9,1,2,ㅈ댄다 진짜,true,청마루 보호: 모욕 99%,***
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:16,chrome-google-demo,2,google-mode-showcase,ㅈ댄다 진짜,masking-mode-mask,masking-mode-showcase,mode-applied,mask,true,,ㅈ댄다 진짜,가리기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,2,ok,true,1,0,true,37.504,23.28,1767.471,26.7,29.1,http://127.0.0.1:8000,ready,backend-foreground,21,12,0,20,1,1,0,0,0,21,0,,0,0,1,29.87,29.706,1,6,1,0,0,0,0,9.0,9,9,1,2,ㅈ댄다 진짜,true,청마루 보호: 모욕 99%,***
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:30,chrome-google-demo,3,google-mode-showcase,ㅈ댄다 진짜,masking-mode-blur,masking-mode-showcase,mode-applied,blur,true,,ㅈ댄다 진짜,흐리기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,1,ok,true,1,0,true,46.251,48.211,1799.82,31.0,33.4,http://127.0.0.1:8000,ready,backend-foreground,47,,0,,,0,,,,47,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",좆
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:30,chrome-google-demo,3,google-mode-showcase,ㅈ댄다 진짜,masking-mode-blur,masking-mode-showcase,mode-applied,blur,true,,ㅈ댄다 진짜,흐리기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,2,ok,true,1,0,true,46.875,48.086,1803.912,31.0,33.4,http://127.0.0.1:8000,ready,backend-foreground,47,,0,,,0,,,,47,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",좆
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:43,chrome-google-demo,4,google-mode-showcase,ㅈ댄다 진짜,masking-mode-hide,masking-mode-showcase,mode-applied,hide,true,,ㅈ댄다 진짜,숨기기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,1,ok,true,1,0,true,44.119,46.812,1798.75,35.3,37.7,http://127.0.0.1:8000,ready,backend-foreground,45,,0,,,0,,,,45,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",좆
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:43,chrome-google-demo,4,google-mode-showcase,ㅈ댄다 진짜,masking-mode-hide,masking-mode-showcase,mode-applied,hide,true,,ㅈ댄다 진짜,숨기기: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,2,ok,true,1,0,true,43.826,48.614,1807.518,35.3,37.7,http://127.0.0.1:8000,ready,backend-foreground,47,,0,,,0,,,,47,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",좆
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:54,chrome-google-demo,5,google-mode-showcase,ㅈ댄다 진짜,masking-mode-remove,masking-mode-showcase,mode-applied,remove,true,,ㅈ댄다 진짜,삭제: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,1,ok,true,1,0,true,38.574,42.353,1794.649,39.6,42.0,http://127.0.0.1:8000,ready,backend-foreground,41,,0,,,0,,,,41,0,,0,0,0,,,0,6,,,0,,,4.0,4,0,0,0,ㅈ댄다 진짜,false,,
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:43:54,chrome-google-demo,5,google-mode-showcase,ㅈ댄다 진짜,masking-mode-remove,masking-mode-showcase,mode-applied,remove,true,,ㅈ댄다 진짜,삭제: ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,2,ok,true,1,0,true,40.047,42.698,1799.514,39.6,42.0,http://127.0.0.1:8000,ready,backend-foreground,41,,0,,,0,,,,41,0,,0,0,0,,,0,6,,,0,,,4.0,4,0,0,0,ㅈ댄다 진짜,false,,
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:44:36,chrome-google-demo,6,google-search,ㅈ댄다 진짜,custom,custom,,,,ㅈ댄다 진짜,ㅈ댄다 진짜,ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,1,ok,true,1,0,true,59.038,71.895,1852.065,46.7,54.9,http://127.0.0.1:8000,ready,backend-foreground,66,,0,,,0,,,,66,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",**
chrome-google-youtube-demo-20260608-final6,2026-06-08T13:44:36,chrome-google-demo,6,google-search,ㅈ댄다 진짜,custom,custom,,,,ㅈ댄다 진짜,ㅈ댄다 진짜,ㅈ댄다 진짜,Google search textarea[role=combobox] / textarea[name=q],https://www.google.com/search?q=%E3%85%88%EB%8C%84%EB%8B%A4+%EC%A7%84%EC%A7%9C&hl=ko&num=10&pws=0&safe=off,2,ok,true,1,0,true,39.571,41.488,1787.471,46.7,54.9,http://127.0.0.1:8000,ready,backend-foreground,40,,0,,,0,,,,40,0,,0,0,0,,,0,6,,,0,,,4.0,4,4,0,0,ㅈ댄다 진짜,true,"청마루 보호: 모욕 97%, 공격 74%",**
