run_id,label,first_frame,last_frame,start_seconds,end_seconds,duration_seconds
chrome-google-youtube-demo-20260608-final6,search 3: type 죽여버릴거야 협박,2366,2366,78.833,78.867,0.033
chrome-google-youtube-demo-20260608-final6,search 3: typed query: 죽여버릴거야 협박,2367,2441,78.867,81.367,2.5
chrome-google-youtube-demo-20260608-final6,search 3: result loaded: 죽여버릴거야 협박,2442,2501,81.367,83.367,2.0
chrome-google-youtube-demo-20260608-final6,search 3: analysis request: 죽여버릴거야 협박,2502,2537,83.367,84.567,1.2
chrome-google-youtube-demo-20260608-final6,search 3: masked results: 죽여버릴거야 협박,2538,2747,84.567,91.567,7.0
chrome-google-youtube-demo-20260608-final6,search 3: hover mask evidence: 죽여버릴거야 협박,2748,2822,91.567,94.067,2.5
chrome-google-youtube-demo-20260608-final6,search 3: scroll-down,2823,2840,94.067,94.667,0.6
chrome-google-youtube-demo-20260608-final6,search 3: after scroll: 죽여버릴거야 협박,2841,2900,94.667,96.667,2.0
chrome-google-youtube-demo-20260608-final6,search 3: scroll-up,2901,2909,96.667,96.967,0.3
chrome-google-youtube-demo-20260608-final6,youtube: search results: 시발 또 다시 보여줘야해?,2910,2969,96.967,98.967,2.0
chrome-google-youtube-demo-20260608-final6,youtube: watch page loaded,2970,2999,98.967,99.967,1.0
chrome-google-youtube-demo-20260608-final6,youtube: scroll-to-comments,3000,3023,99.967,100.767,0.8
chrome-google-youtube-demo-20260608-final6,youtube: comments visible,3024,3113,100.767,103.767,3.0
chrome-google-youtube-demo-20260608-final6,youtube: analysis request,3114,3149,103.767,104.967,1.2
chrome-google-youtube-demo-20260608-final6,youtube: masked comments,3150,3299,104.967,109.967,5.0
chrome-google-youtube-demo-20260608-final6,youtube: hover mask evidence,3300,3374,109.967,112.467,2.5
chrome-google-youtube-demo-20260608-final6,youtube comments: scroll-down,3375,3386,112.467,112.867,0.4
chrome-google-youtube-demo-20260608-final6,youtube: after comment scroll,3387,3446,112.867,114.867,2.0
chrome-google-youtube-demo-20260608-final6,site warning: before navigation,3447,3506,114.867,116.867,2.0
chrome-google-youtube-demo-20260608-final6,site warning,3507,3746,116.867,124.867,8.0
chrome-google-youtube-demo-20260608-final6,final evidence review,3747,4500,124.867,150.0,25.133
