run_id,source,scenario,batch_size,metric,count,avg,median,p95,min,max
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,backend_roundtrip_ms,821,76.788,68.0,186.0,1.0,319.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,candidate_collect_ms,825,1.09,1.0,2.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,first_mask_ms,197,4.015,2.0,26.0,1.0,46.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,local_preflight_ms,9,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,pre_backend_ms,828,1.589,2.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,8,total_to_mask_ms,834,77.227,69.0,187.0,1.0,321.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,backend_internal_avg_ms,832,8.973,8.146,14.276,0.101,34.524
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,backend_model_avg_ms,823,8.78,7.885,14.094,5.369,34.183
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,backend_roundtrip_ms,830,67.164,64.0,93.0,1.0,149.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,candidate_collect_ms,825,1.353,1.0,2.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,first_mask_ms,824,6.374,2.0,41.0,1.0,78.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,local_preflight_ms,56,1.018,1.0,1.0,1.0,2.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,pre_backend_ms,832,1.78,2.0,3.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,16,total_to_mask_ms,833,69.084,67.0,94.0,1.0,152.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,backend_internal_avg_ms,832,14.061,12.392,22.968,0.101,89.891
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,backend_model_avg_ms,822,13.997,12.232,22.791,6.749,89.603
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,backend_roundtrip_ms,828,55.973,50.0,89.0,1.0,148.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,candidate_collect_ms,690,1.01,1.0,1.0,1.0,2.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,decision_build_ms,1,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,first_mask_ms,823,7.823,1.0,44.0,1.0,66.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,local_preflight_ms,24,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,post_backend_to_mask_ms,1,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,pre_backend_ms,829,1.033,1.0,1.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,4,total_to_mask_ms,833,56.952,52.0,89.0,1.0,149.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,backend_internal_avg_ms,832,10.344,9.599,15.176,0.101,56.923
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,backend_model_avg_ms,823,10.17,9.307,14.992,5.97,56.485
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,backend_roundtrip_ms,829,77.969,76.0,103.0,1.0,465.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,candidate_collect_ms,825,1.091,1.0,2.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,first_mask_ms,824,6.237,2.0,38.0,1.0,59.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,local_preflight_ms,71,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,pre_backend_ms,827,1.635,2.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,profanity,8,total_to_mask_ms,833,79.523,78.0,105.0,1.0,467.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,backend_internal_avg_ms,832,12.187,12.069,22.273,0.061,32.36
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,backend_model_avg_ms,771,12.932,12.128,22.725,1.458,32.125
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,backend_roundtrip_ms,830,59.08,62.0,84.0,1.0,240.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,candidate_collect_ms,824,1.346,1.0,2.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,first_mask_ms,230,2.048,2.0,3.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,local_preflight_ms,9,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,pre_backend_ms,829,1.789,2.0,3.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,16,total_to_mask_ms,833,60.789,64.0,86.0,1.0,241.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,backend_internal_avg_ms,833,13.968,12.847,23.642,0.101,85.551
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,backend_model_avg_ms,822,13.955,12.709,23.748,4.037,85.413
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,backend_roundtrip_ms,831,57.637,61.0,88.0,1.0,250.0
