run_id,label,first_frame,last_frame,start_seconds,end_seconds,duration_seconds
chrome-google-demo-20260609T104101,settings: open options,1,240,0.0,8.0,8.0
chrome-google-demo-20260609T104101,settings: open developer tools,241,300,8.0,10.0,2.0
chrome-google-demo-20260609T104101,settings: enable backend,301,360,10.0,12.0,2.0
chrome-google-demo-20260609T104101,settings: check backend connection,361,420,12.0,14.0,2.0
chrome-google-demo-20260609T104101,settings: run site policy,421,480,14.0,16.0,2.0
chrome-google-demo-20260609T104101,settings: apply wellbeing override,481,540,16.0,18.0,2.0
chrome-google-demo-20260609T104101,settings: clear wellbeing override,541,600,18.0,20.0,2.0
chrome-google-demo-20260609T104101,Google home,601,720,20.0,24.0,4.0
chrome-google-demo-20260609T104101,mode showcase: protection off raw screen,721,780,24.0,26.0,2.0
chrome-google-demo-20260609T104101,mode showcase: apply mask,781,801,26.0,26.7,0.7
chrome-google-demo-20260609T104101,mode showcase: result mask,802,873,26.7,29.1,2.4
chrome-google-demo-20260609T104101,mode showcase: hover mask,874,909,29.1,30.3,1.2
chrome-google-demo-20260609T104101,mode showcase: apply blur,910,930,30.3,31.0,0.7
chrome-google-demo-20260609T104101,mode showcase: result blur,931,1002,31.0,33.4,2.4
chrome-google-demo-20260609T104101,mode showcase: apply hide,1003,1023,33.4,34.1,0.7
chrome-google-demo-20260609T104101,mode showcase: result hide,1024,1095,34.1,36.5,2.4
