run_id,row_sample_id,measured_at,scenario,batch_size,total_candidate_count,foreground_candidate_count,analysis_unit_count,requested_text_count,backend_request_count,row_total_to_mask_ms,backend_roundtrip_ms,backend_internal_avg_ms,backend_model_avg_ms,candidate_collect_ms,parser_ms,pre_backend_ms,local_preflight_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,first_mask_ms,amortized_total_ms_per_requested_text,latency_bucket,dominant_stage,dominant_stage_ms,worst_rank,is_absolute_worst,is_extreme_outlier,is_outlier_excluded_worst,is_recurring_slow_bucket,is_fast_or_cache_path,user_visible_latency_basis,throughput_note,raw_notes
chrome-10k-fixture-20260607T2314,1285,2026-06-07T23:20:13+09:00,mixed,4,6,6,6,3,1,3,2,7.749,7.589,1,,1,,,,,,1.0,frame-fast<=16ms,backend_internal_avg_ms,7.75,9776,no,no,no,no,yes,total_to_mask_ms,3 requested texts in row; amortized=1.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1286,2026-06-07T23:20:13+09:00,mixed,8,10,8,8,1,1,2,1,11.546,11.383,1,,2,,,,,,2.0,frame-fast<=16ms,backend_internal_avg_ms,11.55,9835,no,no,no,no,yes,total_to_mask_ms,1 requested texts in row; amortized=2.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1287,2026-06-07T23:20:13+09:00,mixed,16,11,8,8,1,1,3,1,11.546,11.383,3,,3,,,,,,3.0,frame-fast<=16ms,backend_internal_avg_ms,11.55,9777,no,no,no,no,yes,total_to_mask_ms,1 requested texts in row; amortized=3.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1288,2026-06-07T23:20:14+09:00,search-result,4,9,8,8,5,1,63,62,13.172,12.91,1,,1,,,,,,12.6,normal<=100ms,backend_roundtrip_ms,62.0,5832,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=12.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1289,2026-06-07T23:20:14+09:00,search-result,8,17,8,8,5,2,73,71,14.202,13.963,1,,2,,,,,,14.6,normal<=100ms,backend_roundtrip_ms,71.0,3803,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=14.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1290,2026-06-07T23:20:14+09:00,search-result,16,20,8,8,5,2,96,93,16.613,16.323,2,,3,,,,,,19.2,normal<=100ms,backend_roundtrip_ms,93.0,1400,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=19.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1291,2026-06-07T23:20:15+09:00,profanity,4,10,8,8,5,2,77,76,14.655,14.403,1,,1,,,,,38,15.4,normal<=100ms,backend_roundtrip_ms,76.0,3065,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=15.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1292,2026-06-07T23:20:15+09:00,profanity,8,18,8,8,5,2,81,80,15.178,14.946,1,,1,,,,,29,16.2,normal<=100ms,backend_roundtrip_ms,80.0,2393,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=16.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1293,2026-06-07T23:20:15+09:00,profanity,16,20,8,8,6,2,92,91,14.125,13.892,1,,1,,,,,1,15.33,normal<=100ms,backend_roundtrip_ms,91.0,1575,no,no,no,no,no,total_to_mask_ms,6 requested texts in row; amortized=15.33ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1294,2026-06-07T23:20:16+09:00,bypass,4,10,8,8,5,1,52,50,12.548,12.283,1,,1,,,,,2,10.4,normal<=100ms,backend_roundtrip_ms,50.0,7757,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.40ms/text,real Chrome unpacked extension content-script pipeline
