rank,source_file,source_group,row_number,run_id,scenario,scene_type,query,total_ms,total_basis,visible_first_mask_ms,dominant_stage,cause_hint,batch_size,requested_text_count,backend_request_count,backend_request_duration_max_ms,backend_internal_model_max_ms,candidate_collect_ms,parser_ms,backend_ms,mask_apply_ms,post_backend_ms
28,chrome-demo-latency.csv,chrome-demo:google-search,26,chrome-google-demo-20260606T202920,,google-search,차별금지법 기사,381.0,total_to_mask_ms,,backend,backend round-trip spike,,,,,,26.0,2.0,341.0,0.0,0.0
29,chungmaru-latency-samples.csv,extension-lastStats,4546,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,378.0,total_to_mask_ms,,backend,backend multi-request accumulation,4,5,2,254.0,119.819,1.0,,377.0,,
30,chrome-demo-latency.csv,chrome-demo:google-search,5,chrome-google-demo-20260606T202222,,google-search,ㅈ ㄴ 짜증,376.0,total_to_mask_ms,,backend,backend round-trip spike,,,,,,67.0,2.0,292.0,0.0,0.0
31,chungmaru-latency-samples.csv,chrome-quick-qa,1019,chrome-quick-qa-settings-20260606T2145,sensitivity-20,,차별금지법 기사,371.0,total_to_mask_ms,,backend,backend multi-request accumulation,2,2,2,,,,,21.0,,
32,chungmaru-latency-samples.csv,extension-lastStats,4776,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,366.0,total_to_mask_ms,,backend,backend multi-request accumulation,16,5,2,230.0,130.407,1.0,,364.0,,
33,chungmaru-latency-samples.csv,extension-lastStats,4942,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,360.0,total_to_mask_ms,,backend,backend multi-request accumulation,4,5,2,255.0,110.934,1.0,,359.0,,
34,chungmaru-latency-samples.csv,extension-lastStats,3889,chrome-10k-fixture-20260607T2314,mixed,,http://127.0.0.1:8877/,352.0,total_to_mask_ms,,backend,backend multi-request accumulation,4,5,2,267.0,128.337,1.0,,351.0,,
35,chungmaru-latency-samples.csv,chrome-quick-qa,1044,chrome-quick-qa-readable-csv-20260606T2225,sensitivity-60,,차별금지법 기사,349.0,total_to_mask_ms,,backend,backend multi-request accumulation,2,2,2,,,,,12.0,,
36,chrome-demo-latency.csv,chrome-demo:youtube-watch-comments,163,chrome-google-youtube-demo-20260608-final6,youtube-comment-profanity,youtube-watch-comments,시발 또 다시 보여줘야해?,345.0,total_to_mask_ms,,backend,backend round-trip spike,,,,,,43.0,8.0,293.0,0.0,0.0
37,chrome-demo-attempt-latency.csv,chrome-demo-attempt:youtube-watch-comments,16,chrome-google-youtube-demo-20260608-final6,youtube-comment-profanity,youtube-watch-comments,시발 또 다시 보여줘야해?,345.0,total_to_mask_ms,,backend,backend round-trip spike,,,,,,43.0,8.0,293.0,0.0,0.0
38,chungmaru-latency-samples.csv,extension-lastStats,4560,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,341.0,total_to_mask_ms,,backend,backend multi-request accumulation,16,5,2,221.0,111.693,1.0,,340.0,,
39,chungmaru-latency-samples.csv,extension-lastStats,4570,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,341.0,total_to_mask_ms,,backend,backend multi-request accumulation,4,5,2,241.0,103.896,,,340.0,,
40,chungmaru-latency-samples.csv,extension-lastStats,4344,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,338.0,total_to_mask_ms,,backend,backend multi-request accumulation,16,5,2,241.0,90.433,1.0,,336.0,,
